,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tweets,labels
0,0.0,0.0,0.0,0.0,1.0,,"I am not convinced why the market would not totally deteriorate back to around the March levels of 9,731, the highs shortly before the pandemic hit? The pandemic and extremely accommodative created a false set of reasons why the NASDAQ sky rocketed to new highs.",postive
1,1.0,1.0,1.0,1.0,2.0,,Disney the parent company of Marvel Studios is currently listed on Nasdaq. Being listed on the stock exchange has several criteria/requirements/regulations Disney has to conform to otherwise they will be delisted and no industry giant ever..ever..wants that.,neutral
2,2.0,2.0,2.0,2.0,3.0,,Hostess went bankrupt 10 years ago and sold Wonder Bread to one company while the Ding Dongs and Twinkies disappeared. Then somebody bought the brands and launched a brand-new Hostess IPO. NASDAQ: TWNK Currently at $22.22.,
3,3.0,3.0,3.0,3.0,4.0,,ContextLogic (NASDAQ:$WISH) PT Lowered to $9.50 at Credit Suisse Group $WISH via,
4,4.0,4.0,4.0,5.0,,,ä¸Šå ´ã™ã‚‹ be listed è¨¼åˆ¸å–å¼•æ‰€ Stock Exchange ç§ã®ä¼šç¤¾ã¯æ±è¨¼ã«ä¸Šå ´ã—ã¾ã—ãŸã€‚ My company got listed on Tokyo Stock Exchange. ç§ã®ä¼šç¤¾ã¯NASDAQã«ä¸Šå ´ã™ã‚‹ã¤ã‚‚ã‚Šã§ã™ã€‚ My company is going to be listed on NASDAQ,
5,5.0,5.0,6.0,,,,"TrollEvent: TrendilatorB Crossed 2, ; From $ORLY, O'Reilly Automotive âŒ˜ NASDAQ:ORLY. US$ TrollView Left, #Gold TrollView Right. View TrollSet:",
6,6.0,6.0,7.0,,,,Top 25 Nasdaq 100 List showed strength at the top of the leaderboard. 16 out of 25 stocks registered gains. $NDX $QQQ,postive
7,7.0,7.0,8.0,,,,"Wall Street ends lower, with Tesla and Amazon denting Nasdaq, as war in Ukraine stirs uncertainty",negative
8,8.0,8.0,9.0,,,,Nasdaq 100 Jan 1995 to April 2003. Looking like we are in another repeat. We are still in that first leg down -31.5%,
9,9.0,9.0,10.0,,,,"Nasdaq 100 Jan 1995 to April 2003. Looking like we are in another repeat. Sell put spreads on $SPY, $QQQ, $IWM on rallies.",
10,10.0,10.0,,,,,"Nasdaq 100 Jan 1995 to April 2003. Looking like we are in another repeat. Sell put spreads on $SPY, $QQQ, $IWM on rallies.",neutral
11,11.0,11.0,,,,,YTD returns based on USD : DXY : +0.74% ğŸŸ¢ BTC : -17.5% ğŸ”´ XAU : +2.01% ğŸŸ¢ (.INX) SPX : -9.75% ğŸ”´ (.IXIC) Nasdaq : -15.91% ğŸ”´ (.DJI) DowJones : -8.12% ğŸ”´ ($VTI) Total Market : -10.29% ğŸ”´ Big money selling. Little money buying.,negative
12,12.0,12.0,,,,,Nasdaq 100 Jan 1995 to April 2003. Looking like we are in another repeat.,neutral
13,13.0,13.0,,,,,$SPY $NASDAQ $NDX Already made plans to smack these come Sunday without a doubt ğŸ“¢,negative
14,14.0,14.0,,,,,"Here is a simple macro example. Nasdaq futures, 12 month bars. 2-2down: exit 2-1-2up: long 2-2down: exit 2-1-2up: long 2-2(or 3 at the time)down: exit 2-3up: long Avoid the majority of the 2 biggest drawdowns in 20yrs and let it ride(compounding).",postive
15,15.0,,,,,,Could the Metaverse Help Shiba Inu Soar? - Nasdaq,neutral
16,,,,,,,Last week MDA picks $IPI and $TMST gained +38.9% and +22.5% in 5 days and portfolio returns +8.77% despite #SP500 -9.2% YTD. March Growth &amp; Dividend picks up +7.53% with Jan/Feb portfolios positive. All portfolios beating markets #NASDAQ -14.90% again.,
